,V1,V2,V3,V4,V5,V6,V7,V8,V9
1,-6.360011362,0.057431337,-6.701245862,0.065256466,-7.186495588,0.072923798,-8.159472259,0.081366903,0.098581806
2,-5.849787433,0.04786482,-6.235584598,0.054898324,-6.916831404,0.067735992,-8.061721999,0.080335541,0.094090206
3,-5.789179874,0.046553989,-6.298117053,0.056589121,-6.900407294,0.0688988,-7.955460732,0.077947754,0.097153734
4,-6.050689213,0.049567039,-6.355009929,0.058623435,-7.181897067,0.073017429,-7.978226457,0.080314479,0.084052041
5,-5.459710155,0.039942018,-6.311699045,0.056362678,-7.159703587,0.073970875,-8.139267245,0.084009021,0.10474218
6,-5.886762479,0.047334962,-6.571741202,0.059976411,-6.671298123,0.063674518,-8.12669563,0.081957333,0.093151086
7,-6.05912641,0.052766688,-6.339024255,0.055922523,-6.810441912,0.065949101,-8.614620593,0.089651322,0.124140658
8,-5.676878151,0.045239397,-5.854746918,0.048894403,-6.671843919,0.064205558,-7.72932959,0.076304938,0.108481397
9,-5.844003944,0.048483779,-6.685339781,0.063144699,-7.432888057,0.078362169,-8.017578068,0.079809069,0.119125558
10,-6.314952123,0.055208002,-6.284477967,0.055380401,-7.058477177,0.070330402,-7.465954381,0.071344646,0.078042682
11,-5.76562955,0.045040246,-6.869648549,0.06700212,-7.065147417,0.07067232,-7.48571034,0.070447827,0.108674066
12,-6.446396914,0.057036136,-6.852603473,0.065141162,-7.111911572,0.070675896,-7.639939777,0.074296828,0.098123378
13,-5.973076985,0.049390709,-6.777412512,0.066894653,-7.197081956,0.073923897,-8.054036682,0.081628835,0.09694925
14,-5.857842924,0.045995647,-6.280025628,0.055138207,-6.882233396,0.067802285,-7.62202511,0.074109097,0.124359178
15,-6.334342031,0.055386164,-6.211283231,0.05569729,-7.10040136,0.071512944,-7.29243223,0.068196241,0.09650813
16,-6.116007709,0.049796014,-6.781079417,0.064993681,-7.091089874,0.070705601,-8.331847299,0.086293988,0.102529206
17,-5.516076617,0.040367672,-6.923322316,0.067111824,-6.924029395,0.070244975,-8.032051505,0.081204971,0.110688308
18,-5.986513541,0.049918233,-6.554055356,0.060701333,-7.346802662,0.077668178,-7.422511612,0.069435416,0.110847273
19,-5.835107048,0.046612862,-6.544828024,0.060367826,-7.24729377,0.073816714,-7.863615613,0.078354185,0.080845289
20,-6.242587381,0.055163264,-6.307877173,0.055941261,-7.164835555,0.072483128,-7.805293318,0.076109722,0.128479103
21,-6.009889416,0.050174248,-6.38448994,0.056069808,-6.883547708,0.067150525,-7.748868501,0.076368881,0.095784155
22,-6.055121844,0.050778111,-6.739902044,0.065284939,-7.268415684,0.07547681,-8.164065993,0.083990604,0.088805862
23,-5.853843478,0.048340844,-6.624906946,0.062856581,-6.964174904,0.069398777,-8.124301795,0.081701685,0.106050525
24,-6.140802404,0.052411664,-6.280283064,0.056925833,-6.793763776,0.065900975,-7.945099015,0.077771831,0.100008056
25,-6.161549591,0.052930111,-5.937862952,0.049119071,-6.991370233,0.070350252,-8.163656307,0.083442462,0.099711078
26,-5.453801874,0.038940907,-6.251600664,0.056484118,-6.417048838,0.059582915,-7.555822053,0.071704118,0.114167901
27,-5.676779548,0.045401942,-6.864969863,0.066794321,-6.892867715,0.068140989,-7.85842714,0.077428181,0.098329458
28,-5.844961206,0.046767858,-6.813957292,0.06412469,-7.462843377,0.078028139,-8.139968031,0.081481756,0.119445741
29,-6.375283638,0.057796353,-6.706473791,0.064230907,-7.083522367,0.072090513,-8.896880236,0.094296929,0.098105176
