,V1,V2,V3,V4,V5,V6,V7,V8,V9
1,-5.298569309,0.036681959,-6.274426708,0.053883492,-6.788217532,0.066571085,-8.124289262,0.08147581,0.50962128
2,-5.725221393,0.046808353,-7.017997903,0.068793707,-6.606042515,0.06215673,-8.765540984,0.094729922,0.503859843
3,-6.37466872,0.055359019,-7.442442306,0.077599644,-6.947755616,0.070341305,-7.954509137,0.08088378,0.504606845
4,-5.834176279,0.046635097,-6.846814179,0.068110452,-7.105360185,0.074012449,-7.899635034,0.079695987,0.485668038
5,-5.705229985,0.042135514,-6.151481242,0.053644415,-7.408418525,0.074788374,-7.593799196,0.070698941,0.483419222
6,-5.90995073,0.04657155,-6.065448166,0.048948948,-6.834232033,0.065070352,-8.139358137,0.078198341,0.489066211
7,-6.161044659,0.053464198,-6.470298853,0.057073214,-6.461850729,0.058929599,-7.998333189,0.081825271,0.500329755
8,-5.966158399,0.049535934,-5.760084626,0.045461988,-7.039457185,0.070175949,-8.173534865,0.083769806,0.500850739
9,-6.111325197,0.050674534,-6.358935354,0.059474438,-6.841856479,0.067714856,-7.587733336,0.068763486,0.488901103
10,-6.003934842,0.049553329,-6.369492868,0.057289289,-6.736459127,0.067240899,-7.294071797,0.067107315,0.483267496
11,-6.294439993,0.054270085,-6.30416311,0.056369891,-6.657265678,0.062747654,-6.948570727,0.061966718,0.502109314
12,-6.415814854,0.060288575,-7.090043498,0.070596471,-7.27441817,0.078912892,-9.614349267,0.106184252,0.488177553
13,-5.853829937,0.050564819,-6.189150374,0.055554966,-7.06607525,0.071540438,-8.606842874,0.090332168,0.507300635
14,-5.899068549,0.04638485,-6.140395625,0.053546475,-6.821104444,0.0680328,-7.62727365,0.0746239,0.508387003
15,-6.113750097,0.052195539,-7.093998893,0.070026766,-7.01586168,0.07220483,-7.633455396,0.074491764,0.516476893
16,-5.512142131,0.042580819,-6.57732759,0.060357826,-6.780523641,0.067114303,-8.191724069,0.085629322,0.495099244
17,-6.021750041,0.052187885,-6.190368779,0.055844532,-7.730686001,0.086318486,-7.536434574,0.071987635,0.506859962
18,-6.198814066,0.055869042,-6.089779726,0.053487376,-6.827193159,0.070452635,-7.649844169,0.074152349,0.499138354
19,-5.805785844,0.048853091,-6.377948876,0.058663469,-7.092165653,0.070790325,-8.085024981,0.080839709,0.490715718
20,-6.026820465,0.0488852,-6.07636307,0.052274558,-6.502648117,0.060863803,-7.945776387,0.077138759,0.511233858
