,V1,V2,V3,V4,V5,V6,V7,V8,V9
1,-6.236781715,0.047021139,-5.824065555,0.050201021,-7.376826187,0.078349945,-8.998662806,0.099627675,0.084435817
2,-6.74039433,0.056399825,-6.3746237,0.056948482,-6.920064584,0.068245265,-8.42048966,0.088506547,0.08743971
3,-6.639434157,0.050970047,-6.671751613,0.060642622,-6.615730884,0.066903319,-7.486450233,0.072798591,0.095374064
4,-6.912952207,0.055544965,-7.017919744,0.068244069,-7.28688969,0.077530283,-8.564717381,0.090831346,0.088824704
5,-5.266671638,0.030036563,-5.773377382,0.044717404,-7.043951115,0.072245629,-8.574499021,0.091803788,0.093850049
6,-6.511731407,0.048716074,-5.927566964,0.048278637,-6.787428293,0.06730852,-9.572897497,0.106868759,0.098983029
7,-6.455524829,0.047477566,-6.356737735,0.057436868,-6.442373649,0.06040858,-8.324799156,0.086765294,0.101045492
8,-6.485433404,0.052235037,-6.734676938,0.065744894,-6.632020152,0.062152494,-9.130921354,0.102243762,0.118985556
9,-6.002080471,0.041637954,-7.512472113,0.079034176,-7.482235133,0.079388798,-8.239903074,0.084176151,0.072548336
10,-6.841589273,0.057957058,-6.76735806,0.064828152,-7.77348448,0.084694207,-7.404669759,0.070545392,0.098646647
11,-6.01630074,0.041737521,-7.710867533,0.081534748,-6.39714202,0.059509131,-8.025163102,0.081262011,0.097712709
12,-6.656464077,0.054202925,-6.649056053,0.061619732,-6.93299711,0.067406034,-8.228178435,0.082054127,0.098658608
13,-6.141751718,0.042879028,-6.24413536,0.055571525,-7.426050743,0.0774641,-7.755654229,0.077298464,0.106400184
14,-7.05509903,0.058522526,-6.191994335,0.056538473,-7.564852089,0.078515076,-8.775393879,0.087843876,0.088313051
15,-6.903713783,0.056005893,-6.682132137,0.062163852,-6.799138523,0.065132853,-8.292494285,0.082309684,0.091546774
16,-6.802823746,0.056597162,-7.11135996,0.072728637,-6.8443985,0.069455816,-7.247473634,0.069929923,0.100314871
17,-5.887378794,0.039741561,-5.986587218,0.050139658,-7.406892633,0.074451871,-7.125945855,0.063764478,0.098417666
18,-6.281778268,0.047417349,-5.813274113,0.045733429,-7.410016906,0.079247979,-8.277131552,0.084360894,0.100002046
19,-6.349524213,0.046161731,-6.179401386,0.056278694,-6.394280039,0.059655522,-8.540412959,0.087321045,0.104082691
20,-5.666752127,0.034267528,-5.783722914,0.048990619,-6.455741221,0.057861659,-9.007036755,0.095519725,0.097336278
21,-7.383888872,0.063216735,-6.465968634,0.061544483,-6.94442901,0.07136755,-8.779345084,0.094562904,0.092502957
22,-6.389406841,0.046183752,-6.344518476,0.056088749,-7.174212208,0.072587745,-8.247357474,0.082247192,0.110021595
23,-6.975511297,0.059046858,-6.458516811,0.058997072,-6.808462368,0.067320706,-8.67088002,0.091723053,0.08320209
24,-6.343230496,0.049035542,-6.110195885,0.050501419,-6.637093676,0.066294688,-7.597790907,0.07460748,0.091277658
25,-6.981432548,0.059050757,-5.829843547,0.052625719,-7.101343751,0.071998297,-7.168603688,0.066230909,0.111683658
26,-6.48998477,0.045776477,-6.299800479,0.054954056,-6.717042817,0.06703516,-7.883116064,0.078948549,0.115556792
27,-6.463140815,0.050036796,-6.000316855,0.049631226,-7.363649413,0.076169882,-8.070984755,0.078572631,0.098482103
28,-6.4344831,0.049216172,-6.546510373,0.062968432,-7.73787527,0.084784941,-8.309397629,0.083663747,0.106420798
29,-6.102209198,0.041774914,-6.887551071,0.068804012,-6.708366069,0.063373019,-8.589989254,0.090559692,0.107485912
30,-6.124470999,0.043651504,-6.224066599,0.05371783,-6.93914288,0.066986407,-8.479401845,0.088913998,0.110598485
31,-6.554829274,0.050585294,-7.127444046,0.070922071,-6.951816879,0.070307479,-7.770292086,0.072201678,0.091693095
32,-6.560813427,0.052559817,-6.873125275,0.06747167,-7.368128911,0.076466093,-7.271423796,0.067627747,0.09593458
33,-6.479749865,0.048058693,-6.70336966,0.064862713,-7.820652709,0.086060485,-8.97645328,0.096770529,0.096306537
