,V1,V2,V3,V4,V5,V6,V7,V8,V9
1,-5.83062383,0.046833456,-6.585082725,0.062495785,-6.963391004,0.070550854,-8.139660379,0.083900016,0.104872051
2,-4.912900656,0.031433235,-6.652531779,0.062041488,-7.027965941,0.07150626,-6.92912434,0.06229479,0.114746048
3,-6.062921261,0.053227225,-6.1523392,0.051744391,-8.263926297,0.093415237,-7.52246252,0.070690495,0.101037509
4,-5.5705639,0.042284371,-6.936664427,0.06865125,-7.107397054,0.0712508,-7.509476452,0.070224653,0.090776563
5,-5.514522837,0.040083931,-6.430133242,0.058117182,-7.215997301,0.076657388,-7.748488089,0.077426443,0.100466458
6,-6.128380721,0.055311638,-6.154999438,0.052037389,-7.608132871,0.081489331,-8.334957462,0.084392591,0.089121663
7,-4.671431423,0.026699557,-6.489741497,0.055491659,-6.687400987,0.062102845,-8.08214566,0.081801678,0.091806115
8,-6.800625333,0.062122551,-7.959265533,0.085255158,-6.866271992,0.068393411,-7.517523076,0.071391079,0.101290093
9,-5.547001063,0.042488124,-6.856761639,0.064775046,-7.079532719,0.070874967,-8.531246383,0.088680639,0.085937784
10,-5.458085289,0.040732966,-6.030602754,0.051398752,-7.053221708,0.070625907,-8.412982668,0.088559788,0.116102876
11,-5.52410116,0.041754212,-6.185730304,0.055955389,-6.756934196,0.066959125,-7.615931299,0.075442082,0.110966527
12,-5.88782593,0.044955655,-6.681963389,0.066435149,-6.957740541,0.070529472,-8.964195528,0.098590169,0.090832038
13,-6.057317825,0.047843604,-7.632910054,0.078386612,-6.697021054,0.064413535,-7.558428279,0.072307682,0.114365215
14,-5.830776132,0.048930967,-6.991960805,0.070444418,-6.982082029,0.069979616,-9.740786339,0.106879234,0.107182008
15,-5.610045009,0.041609231,-7.211673471,0.071931758,-7.435716176,0.079090498,-8.057878903,0.081560608,0.100598945
16,-6.174468939,0.05590649,-6.58571808,0.060870198,-7.68383898,0.082780885,-8.494954465,0.08800779,0.105613582
17,-6.324828387,0.057853738,-6.386038672,0.056158708,-7.446200639,0.075927287,-8.500993555,0.091355004,0.103472235
18,-5.142473062,0.036513435,-6.48559844,0.060996514,-6.743029248,0.063525071,-8.290266746,0.083652752,0.094483949
19,-5.994709048,0.05162852,-5.937063104,0.051844817,-7.57546045,0.078787338,-7.147144716,0.065083762,0.096557735
20,-6.432901654,0.06062099,-6.576313347,0.061496763,-8.18292417,0.08878565,-7.279429649,0.066719656,0.092616406
21,-5.770143,0.046404254,-7.03364232,0.069337962,-7.504735978,0.079948355,-8.451595485,0.092711776,0.089241258
22,-6.257379356,0.05671538,-6.82635608,0.0650693,-7.52206677,0.079044026,-8.551709062,0.091179423,0.103784143
23,-5.577307664,0.043709873,-6.681149554,0.06062947,-6.70325397,0.066642355,-8.636431185,0.089884421,0.10807871
24,-5.667358543,0.044955251,-6.220041057,0.055766264,-6.472180364,0.060229408,-8.491975651,0.087865359,0.095564618
25,-6.247190645,0.050625887,-6.950601546,0.069119525,-7.763571052,0.082471481,-8.228114857,0.082818493,0.097352309
26,-5.677746247,0.045581962,-5.806657876,0.048445051,-7.299470491,0.075258588,-8.293183258,0.084424062,0.099319265
27,-5.571922236,0.041136074,-6.904312481,0.067978792,-6.967934594,0.070018234,-7.400369941,0.064637808,0.094572689
28,-6.127985765,0.055147102,-6.58167626,0.063305571,-7.299708192,0.074347294,-8.438619616,0.088560299,0.095026961
29,-5.549612637,0.041915843,-6.200225383,0.055175553,-6.901521616,0.06753089,-7.937295556,0.080493206,0.090830868
30,-5.971781071,0.052402943,-6.661104681,0.064129446,-6.878256565,0.069007695,-8.116891114,0.083339132,0.088527756
31,-6.237471458,0.055963705,-6.638094211,0.060912287,-6.80003877,0.06730824,-7.875830288,0.077029042,0.090274897
32,-6.123423045,0.051127363,-5.987962264,0.050504328,-7.199152478,0.075781181,-8.583253615,0.088187583,0.086615277
33,-6.923493284,0.066647109,-7.085655998,0.072769755,-7.595217582,0.082436661,-6.986791906,0.064727881,0.113115604
34,-5.478696695,0.038665662,-6.467585819,0.058189799,-6.919230491,0.066202327,-7.068674114,0.062703562,0.100841503
35,-6.281244552,0.052823666,-6.711052802,0.063219018,-6.966739131,0.07005714,-8.688695275,0.088771859,0.091573772
36,-6.141539563,0.053215395,-6.638413543,0.060834532,-7.329586481,0.076104739,-8.534459,0.088601218,0.107547595
37,-6.491578745,0.057968115,-6.824315107,0.065540279,-6.7701012,0.064988069,-8.705243475,0.093176342,0.112011443
38,-5.494618152,0.040984669,-6.546119983,0.063486784,-5.88214405,0.050149222,-9.10496974,0.098173583,0.109454316
39,-6.57002447,0.060346952,-6.199157059,0.054621199,-7.325622716,0.076318645,-7.5779964,0.072385617,0.097513229
40,-5.867800814,0.046258025,-6.711188036,0.062934182,-6.988416694,0.070246065,-7.332260779,0.067178076,0.084163661
41,-5.862182379,0.049908196,-6.200894799,0.057792465,-7.012691467,0.074119828,-7.91350958,0.080453484,0.103557799
42,-5.546466918,0.039967452,-6.268854042,0.055828719,-7.325359615,0.076954062,-7.906155912,0.078570861,0.089518105
43,-5.986088063,0.049501282,-6.74004463,0.065719403,-6.312061727,0.05724261,-7.057518443,0.064170083,0.105286907
44,-5.885525597,0.047214903,-6.110348921,0.053689944,-7.566177443,0.080386401,-8.674687828,0.089180651,0.103720041
45,-5.595536067,0.043620446,-7.084423108,0.072885328,-8.745644791,0.101088337,-8.374113903,0.084474595,0.096753248
46,-6.560346857,0.057885447,-6.337948723,0.056170376,-7.30754408,0.074162271,-7.866444753,0.078568911,0.093005311
47,-5.995839132,0.048864155,-6.597468621,0.060657277,-6.440488439,0.059357242,-7.37929767,0.066847508,0.096800799
48,-6.247739084,0.053897223,-6.004268013,0.05001971,-6.964099746,0.068250737,-8.622717691,0.092222136,0.09784039
49,-6.128177037,0.052639689,-5.984380187,0.0522993,-6.8717316,0.067930355,-7.911068492,0.076544462,0.097461703
50,-5.93715706,0.046677072,-5.484114249,0.042335575,-7.063901845,0.069624576,-8.324636811,0.085684667,0.09532877
51,-5.849080069,0.045910003,-6.749258189,0.064910395,-6.800343561,0.067544115,-8.209676234,0.083718674,0.106307435
52,-6.20577962,0.05169145,-6.689073885,0.065482826,-7.637595431,0.081693408,-7.906937115,0.078704821,0.087717568
53,-6.464798967,0.055844651,-6.686818983,0.062316616,-6.641295481,0.062356879,-7.853120996,0.080319887,0.109576829
54,-6.957867995,0.067686468,-6.31684314,0.057082123,-6.778728508,0.064214552,-7.952521554,0.081153249,0.091552726
55,-5.424183311,0.040407637,-6.509852773,0.060221628,-7.499704665,0.079601261,-8.329945989,0.083818056,0.104609051
56,-6.009446347,0.049497166,-6.520619316,0.059129097,-7.657423781,0.081667632,-7.903136267,0.078723967,0.111047184
57,-6.379464818,0.05586965,-5.804361776,0.047647417,-7.446867037,0.077964729,-9.048971717,0.098509641,0.112608007
58,-6.87106596,0.064302284,-7.105643159,0.070419895,-6.645855937,0.065533827,-8.65143635,0.089993038,0.107843675
59,-5.65260346,0.043905166,-6.456770133,0.060077966,-6.622542552,0.063726661,-8.170341367,0.081869617,0.101974223
60,-6.038203377,0.053538011,-7.232222704,0.075509494,-6.798768534,0.064270312,-8.984211193,0.099473173,0.088542796
61,-6.170432099,0.052494405,-7.157991972,0.072768729,-7.047980355,0.070908286,-8.136360746,0.082410071,0.106252276
62,-5.697639468,0.042227512,-5.759515737,0.047534102,-7.728984007,0.087230623,-7.892483136,0.07491592,0.105841709
63,-5.087196075,0.035211613,-6.689635197,0.065113278,-7.527071568,0.0798242,-8.721175119,0.093437235,0.093440905
64,-5.578845367,0.04235327,-6.028328697,0.047981942,-6.363192741,0.057606774,-7.632279483,0.074813403,0.076511544
65,-5.860661122,0.046365217,-6.697039453,0.062317779,-6.643713019,0.065153847,-8.718407585,0.091158661,0.096196768
66,-5.722498532,0.04619572,-7.174448002,0.071944038,-7.151249089,0.073565875,-9.560297522,0.106548868,0.113298771
67,-6.487996109,0.060368939,-6.518103721,0.058037009,-7.116887139,0.072899291,-7.224397432,0.066468869,0.090593681
68,-6.192132906,0.055079806,-6.737945679,0.06239817,-7.719950338,0.08478923,-8.597554815,0.091959471,0.099114196
69,-5.644197968,0.043809348,-6.735655229,0.063009903,-6.611693197,0.063541136,-7.456904738,0.07284999,0.117029505
70,-6.114302253,0.052566721,-6.789914712,0.064893296,-7.51869147,0.079718889,-8.6229946,0.091550523,0.110478478
71,-5.213105906,0.034888853,-6.872260073,0.063735625,-7.225077268,0.070919729,-6.922637453,0.060368158,0.087076325
72,-5.723661344,0.044692708,-6.924167871,0.066454594,-7.827726959,0.083902859,-8.029626496,0.078985496,0.112833396
73,-6.959676653,0.064523557,-5.696712622,0.046674299,-6.884379194,0.068577596,-8.497485161,0.088266144,0.095805871
74,-5.896218522,0.048885511,-6.948320429,0.066807449,-6.581839425,0.061308474,-7.412601203,0.068084561,0.099084102
75,-6.315708694,0.055521071,-6.365365045,0.05777775,-6.434876345,0.060233793,-7.362767458,0.070900919,0.112495157
76,-6.59066315,0.06112236,-6.284912822,0.055441276,-6.841048504,0.071097555,-9.651957463,0.111149454,0.101554875
77,-5.591225419,0.042987744,-6.51764384,0.060243882,-6.700954551,0.064907214,-8.32627159,0.084798694,0.109500198
78,-5.949113925,0.050271181,-6.834307764,0.065992339,-7.247953993,0.072259736,-9.405393178,0.10423842,0.091995378
79,-6.619131721,0.064212751,-6.722177756,0.066334169,-6.784953321,0.066455708,-8.0318358,0.08262172,0.110565741
80,-6.005179741,0.053190349,-7.038557351,0.071227094,-6.916338147,0.06648964,-8.664582988,0.092039128,0.102462603
81,-5.418009409,0.039466104,-5.516500284,0.041362491,-6.787146894,0.066662368,-7.901849725,0.07576436,0.114778216
82,-5.516657869,0.041073123,-6.526990776,0.060738676,-7.009080459,0.072410797,-7.34137514,0.067667266,0.097160006
83,-5.662234771,0.042537594,-5.726924097,0.046010516,-6.771932024,0.066450414,-7.510745418,0.074187333,0.092679795
84,-6.617576624,0.063039313,-6.882828866,0.064155891,-6.763298766,0.0677129,-8.058973242,0.082747965,0.101305066
85,-5.637407629,0.04520343,-6.311014771,0.059616967,-6.645285979,0.063230585,-7.324949741,0.064842733,0.099999191
86,-5.310496003,0.03728299,-6.49251352,0.057832918,-8.232529278,0.091712952,-9.422948925,0.103008862,0.10434905
87,-6.194312071,0.053724247,-6.325736774,0.057447128,-7.294359952,0.070079056,-8.678847164,0.093304302,0.100968581
88,-5.993853949,0.051263013,-5.730450761,0.042620518,-6.974182095,0.0701922,-7.36335553,0.068639072,0.099389831
89,-6.028008178,0.048656371,-6.155556093,0.053669155,-6.780839179,0.064549168,-8.516223792,0.085308726,0.104440014
90,-6.135746866,0.054708143,-6.516441418,0.061616443,-6.418356934,0.061404773,-8.528472888,0.087576297,0.113936674
91,-6.559223762,0.058813802,-6.378320676,0.057984584,-7.506722765,0.081335841,-7.194375141,0.063934086,0.101014564
92,-6.152810275,0.050976748,-6.390683999,0.060321881,-7.062412724,0.072302172,-7.675270539,0.074607913,0.103308067
93,-6.111323769,0.050959246,-7.192350116,0.073515865,-7.561114143,0.081720258,-7.59224742,0.076219109,0.090289354
94,-5.145672271,0.03445723,-5.778898692,0.048290077,-6.559702978,0.063192378,-7.803155194,0.078273443,0.100800906
95,-6.149763517,0.051574118,-6.381402198,0.057374998,-6.822180292,0.068248869,-7.488275301,0.072245666,0.091291753
96,-5.982368625,0.047083219,-6.3904578,0.056732641,-7.171794232,0.071728694,-7.904422888,0.078199958,0.1098318
97,-5.706673612,0.044459073,-6.528452589,0.059051224,-7.252054332,0.072714972,-8.564260353,0.085759784,0.099086288
98,-7.08712221,0.072429703,-6.133466385,0.055146597,-6.826155544,0.067373499,-8.79254099,0.097011457,0.0978706
99,-5.967600101,0.052075638,-6.445425413,0.059529158,-7.057207303,0.070513298,-8.535145821,0.088648611,0.107228919
100,-5.817606076,0.044949479,-6.056960272,0.053598515,-6.6536869,0.060930715,-8.348579365,0.085955732,0.108086324
