,V1,V2,V3,V4,V5,V6,V7,V8,V9
1,-5.953403307,0.058750211,-6.461107394,0.059863196,-6.72512188,0.06407941,-6.78220472,0.060038328,0.099131311
2,-5.368092874,0.046558305,-6.186340593,0.054003501,-7.554851736,0.078738044,-7.224542305,0.063858361,0.096892794
3,-5.278067551,0.042799201,-6.387559093,0.057378455,-7.206896517,0.074134219,-7.044003907,0.063931513,0.095530243
4,-6.245292538,0.060570782,-6.429504863,0.058857639,-6.550205348,0.059652369,-8.355679239,0.08687799,0.104310927
5,-5.158673135,0.044198901,-7.558250122,0.079484607,-7.901984413,0.088725237,-9.512880316,0.105952619,0.099411898
6,-5.363522122,0.048009635,-5.774795805,0.046653524,-7.056004286,0.07138353,-7.805540382,0.07661569,0.104953549
7,-4.915859271,0.040873471,-6.930377162,0.068821656,-6.342474468,0.058323576,-8.303930257,0.083827479,0.099366591
8,-6.195374583,0.063608746,-6.4366318,0.058421206,-7.230196387,0.076189294,-8.628281665,0.092193291,0.111581869
9,-5.157677262,0.042328037,-6.697260035,0.064344099,-6.685956861,0.065107281,-7.567232529,0.0700812,0.111301892
10,-5.360146385,0.046185185,-6.331209964,0.056154296,-6.424980081,0.058916276,-7.890098339,0.07634663,0.079217729
11,-4.98196286,0.039494601,-6.852368788,0.068625315,-6.312138103,0.056400649,-8.794425332,0.096250876,0.109441301
12,-5.911531792,0.057547842,-5.715324498,0.044308143,-7.027687405,0.07150112,-7.876932987,0.077051868,0.092576323
13,-5.923790352,0.05722515,-6.986863294,0.06965703,-6.711358674,0.065254583,-7.960486669,0.079376696,0.094841574
14,-5.469841352,0.046608406,-6.523413203,0.061588259,-7.384463025,0.078579305,-7.206165703,0.066144431,0.095824304
15,-5.205216105,0.043161981,-5.832939704,0.047948802,-7.574318981,0.080302907,-8.694836701,0.090164947,0.10250024
16,-5.536203968,0.051824724,-6.649197045,0.064805425,-7.131253241,0.07043685,-7.860933923,0.076928981,0.097677561
17,-5.650495431,0.05185052,-6.573516882,0.062764158,-7.181689533,0.07349576,-8.141347289,0.082703748,0.103906845
18,-5.350470029,0.046765601,-7.459198908,0.077334241,-7.44173883,0.075274347,-7.637451491,0.077886132,0.093946863
19,-5.327543274,0.047726226,-5.648460037,0.04400173,-6.576815017,0.060607414,-7.92800539,0.081124841,0.091095279
20,-5.239545432,0.044194774,-6.867400477,0.066056841,-7.071162132,0.072804666,-7.368954824,0.070397598,0.102201076
21,-5.657664685,0.055247173,-7.310918978,0.073594467,-7.588768294,0.080153212,-8.240327099,0.082473148,0.108171018
22,-6.556498954,0.066048203,-6.366085488,0.057292338,-7.141675133,0.070721632,-8.096692241,0.082591515,0.104457233
23,-5.449442921,0.048720391,-6.986794013,0.06779497,-7.099754102,0.073654345,-8.376471178,0.085014886,0.108054951
24,-5.758858433,0.054344548,-6.497444393,0.061006605,-6.515480282,0.062763256,-7.230592787,0.066081083,0.110677218
