,V1,V2,V3,V4,V5,V6,V7,V8,V9
1,-6.149348112,0.045366267,-6.910825589,0.068064099,-6.891910773,0.06775174,-8.010746045,0.0811938,0.104473486
2,-6.412932309,0.049059333,-6.535889147,0.059574272,-6.646971992,0.063137532,-7.696774858,0.072270089,0.116177587
3,-6.721684028,0.053989932,-6.446058109,0.059340904,-7.124182293,0.071665563,-7.78797481,0.076484436,0.092303721
4,-6.78562256,0.055943225,-6.570595236,0.061420079,-6.498237749,0.061342917,-8.281665428,0.083647975,0.090218164
5,-6.221970429,0.047118413,-7.059304134,0.070257043,-6.504105379,0.060938358,-8.441038059,0.087878318,0.098371316
6,-6.810935854,0.056292409,-6.516879938,0.05914882,-6.683272091,0.063222317,-7.576963403,0.072951559,0.102820185
7,-6.561951863,0.05028174,-6.303704021,0.05618594,-7.134645701,0.072913646,-8.15227249,0.080972759,0.101111637
8,-6.711449271,0.054221922,-6.956022742,0.067275752,-6.872605459,0.069834757,-7.786589318,0.076326693,0.111894708
9,-6.78938916,0.055863548,-6.639699249,0.063604294,-6.65262946,0.063775648,-7.944782585,0.079020708,0.10605432
10,-6.081222546,0.043133562,-6.586718312,0.06133647,-6.948156546,0.070847066,-7.825466753,0.078798675,0.10326943
11,-6.447231958,0.04867576,-6.46233789,0.058225662,-6.952942268,0.069334915,-8.076294509,0.081026605,0.11068922
12,-6.256681978,0.045461129,-6.815024993,0.065651471,-7.185196909,0.07301218,-8.400994309,0.086834326,0.105136301
13,-6.428995476,0.048835888,-6.863157213,0.065363624,-6.923758475,0.069103256,-8.127088241,0.08230364,0.087996961
14,-6.518265362,0.050798497,-6.218388406,0.053404779,-6.694449433,0.064379144,-7.619451527,0.073761128,0.109331916
15,-6.579267091,0.052207898,-6.133399654,0.053250652,-6.522514108,0.060623152,-7.925496958,0.079032172,0.105095393
16,-7.206738996,0.062337984,-6.085392461,0.052680467,-7.135843722,0.07340691,-7.881470316,0.078224192,0.106100624
17,-6.249808848,0.044855858,-6.019734029,0.051290487,-6.925297786,0.069962404,-8.235859878,0.08418044,0.096550242
18,-6.619307385,0.050651407,-6.776676893,0.064621402,-7.108740036,0.070441758,-7.818882859,0.077067595,0.103217462
19,-6.826333638,0.057247686,-6.404946781,0.05799994,-7.125425782,0.071705067,-8.452833553,0.08744782,0.083755457
20,-6.403310795,0.048746994,-6.3284157,0.05611074,-6.611094559,0.063012943,-8.305828922,0.084980859,0.11820078
21,-6.445446782,0.049863621,-6.621756503,0.061558452,-6.569917235,0.062183796,-8.46919846,0.089393174,0.108228794
