,V1,V2,V3,V4,V5,V6,V7,V8,V9
1,-5.520305962,0.049386562,-6.052752581,0.053767208,-6.764235365,0.067000301,-7.928607405,0.07706657,0.104781033
2,-5.906794186,0.05830575,-6.579890169,0.062036156,-7.072720588,0.070254818,-7.627103779,0.074163793,0.110856856
3,-5.495448906,0.050606326,-6.229695102,0.054915693,-7.260051482,0.074901475,-7.703006669,0.07386182,0.08438129
4,-5.413110426,0.047741946,-6.568076681,0.06097661,-6.88229801,0.068995364,-7.485619252,0.071040001,0.089254822
5,-5.461232416,0.050338784,-6.355653601,0.056939977,-7.171802944,0.070867383,-7.957752065,0.079137302,0.095472867
6,-5.729368995,0.053743913,-6.499724253,0.061451889,-7.084022989,0.072777816,-8.277838011,0.084822948,0.100141012
7,-5.345711975,0.047881156,-6.437421434,0.058500141,-6.864996241,0.067513328,-7.596924808,0.07158765,0.105193783
8,-5.782417917,0.055793859,-6.348492745,0.057112845,-6.436901657,0.059437261,-7.725841775,0.075959263,0.095449991
9,-5.617379634,0.051824761,-6.434353128,0.058637349,-7.439532021,0.078731305,-8.235508538,0.084496289,0.111675061
10,-5.479004062,0.04869246,-6.897049564,0.066540266,-7.217064447,0.074358831,-8.364416089,0.086085744,0.090374122
11,-5.498912291,0.051198411,-6.324148632,0.057250382,-6.908867121,0.068333819,-7.735735721,0.077213514,0.115567722
12,-5.561797314,0.051231784,-5.84229019,0.046481475,-6.920207263,0.068792859,-7.564222451,0.072477271,0.098297096
13,-5.25180538,0.045626226,-6.938819252,0.067942549,-7.382126412,0.076277621,-8.397794582,0.086648097,0.118986117
14,-5.452926863,0.050213213,-6.625723776,0.061061286,-7.044900856,0.070657517,-8.037008194,0.078564615,0.082332444
15,-5.480956799,0.05071901,-6.758214682,0.066749875,-7.465157782,0.080078927,-8.055106988,0.080182037,0.088352312
16,-5.47720131,0.048244564,-6.80315217,0.065022313,-7.036958282,0.070796731,-7.707588322,0.075206649,0.103287081
17,-5.145001785,0.042783033,-6.287346366,0.056287153,-6.962806901,0.070326971,-7.837210712,0.07837686,0.096258936
18,-5.576606189,0.050606235,-6.323572326,0.056624259,-7.139838438,0.072983579,-8.278544626,0.08509448,0.096391353
19,-5.383359516,0.047962269,-6.747530658,0.06515622,-6.834669808,0.065499196,-7.981456012,0.079056059,0.089723376
20,-5.623740511,0.052852498,-6.402655108,0.060578311,-6.790204192,0.067774967,-8.249586154,0.083932003,0.103357257
21,-5.495015209,0.051023615,-6.383594011,0.058072059,-6.782932684,0.066547721,-7.916059231,0.078665077,0.11435375
22,-5.089978703,0.043154948,-6.602079704,0.062642,-7.100560916,0.072047855,-7.637746659,0.072216825,0.10164313
23,-5.435069976,0.048915937,-6.500419451,0.060746012,-7.272200176,0.075875019,-8.0201735,0.079987677,0.106489651
24,-5.432177491,0.047954259,-6.770673166,0.065298334,-7.003840117,0.072147018,-7.81406722,0.075038749,0.09310429
25,-5.517222862,0.051311996,-6.706738869,0.064500406,-7.364124315,0.076376723,-8.281135793,0.084257555,0.108029312
26,-4.89646472,0.038097782,-6.241976663,0.054978913,-6.589696334,0.062154281,-8.220791492,0.083298022,0.093515893
27,-5.47166333,0.050178463,-6.868554189,0.065930243,-7.045935891,0.071766524,-8.859275864,0.094682647,0.098887171
28,-5.09165497,0.042840102,-6.732958707,0.06335189,-7.103009569,0.072348126,-7.990385155,0.079459548,0.100922308
29,-5.311598588,0.046055336,-6.714608445,0.065757247,-7.090126048,0.071528006,-7.667629533,0.07418982,0.123121141
30,-5.480571147,0.048854767,-6.764634715,0.065113668,-7.322613508,0.075842325,-8.490190222,0.088845252,0.108131881
31,-5.734253307,0.054979472,-6.525363455,0.060791384,-6.823284067,0.066411829,-7.92939382,0.079874263,0.10288954
